NOME_MES;ORGAO;NOME_ORGAO;SIGLA_ORGAO;APROVADA;DISTRIBUIDA;OCUPADA;VAGAS
jan 2016;40301;COMISSAO NACIONAL DE ENERGIA NUCLEAR;CNEN;3385;2898;2152;1233
jan 2016;40403;FUNDACAO CASA DE RUI BARBOSA;FCRB;159;156;122;37
jan 2016;40408;FUNDACAO CULTURAL PALMARES;FCP;28;28;27;1
jan 2016;40501;CONSELHO NAC.DE DESEN.CIEN.E TECNOLOGICO;CNPQ;1109;913;555;554
jan 2016;40603;SUPERINTENDENCIA ZONA FRANCA DE MANAUS;SUFRAMA;634;607;547;87
jan 2016;40604;INSTITUTO BRASILEIRO DE TURISMO;EMBRATUR;311;306;135;176
jan 2016;40701;INST. BR. MEIO AMB. REC. NAT. RENOVAVEIS;IBAMA;6497;6497;3771;2726
jan 2016;40801;GOVERNO DO EX-TERRITORIO DO AMAPA;EX-TER/AP;5627;5626;5488;139
jan 2016;40802;GOVERNO DO EX-TERRITORIO DO ACRE;EX-TER/AC;1;1;0;1
jan 2016;40803;GOVERNO DO EX-TERRITORIO DE RONDONIA;EX-TER/RO;1922;1922;1815;107
jan 2016;40804;GOVERNO DO EX-TERRITORIO DE RORAIMA;EX-TER/RR;4517;4517;4398;119
jan 2016;41231;AGENCIA NACIONAL DE TELECOMUNICACOES;ANATEL;1852;1649;1465;387
jan 2016;42000;MINISTERIO DO DESENVOLVIMENTO AGRARIO;MDA;616;246;179;437
jan 2016;42201;INSTITUTO NAC. DE COLONIZ E REF AGRARIA;INCRA;11703;9152;4888;6815
jan 2016;42204;DEPTO. NACIONAL DE OBRAS CONTRA AS SECAS;DNOCS;2900;2899;1507;1393
jan 2016;42207;INSTITUTO BRASILEIRO DE MUSEUS;IBRAM;844;692;555;289
jan 2016;44205;AGENCIA NACIONAL DE AGUAS;ANA;399;368;298;101
jan 2016;44206;INSTITUTO DE PESQ. JARDIM BOTANICO DO RJ;JBRJ;235;234;170;65
jan 2016;44207;INSTITUTO CHICO MENDES CONSERV.BIODIVER.;ICMBIO;2910;2265;1875;1035
jan 2016;45203;COMISSAO DE VALORES MOBILIARIOS;CVM;607;592;507;100
jan 2016;45205;FUND. INST. BRASIL. GEOG. E ESTATISTICA;IBGE;11530;11530;5738;5792
jan 2016;45206;INSTITUTO DE PESQUISA ECONOMICA APLICADA;IPEA;1019;1019;434;585
jan 2016;45208;SUPERINTENDENCIA DE SEGUROS PRIVADOS;SUSEP;828;535;383;445
jan 2016;49000;MINISTERIO DOS TRANSPORTES;MT;1234;1178;644;590
