"Faixa Etária ","2015/Jan","2015/Fev","2015/Mar","2015/Abr","2015/Mai","2015/Jun","2015/Jul","2015/Ago","2015/Set","2015/Out","2015/Nov","2015/Dez","2016/Jan","2016/Fev","2016/Mar","2016/Abr","2016/Mai","2016/Jun","2016/Jul","2016/Ago","2016/Set","2016/Out","2016/Nov","2016/Dez","2017/Jan","2017/Fev","2017/Mar","2017/Abr","2017/Mai","2017/Jun","2017/Jul","2017/Ago","2017/Set","2017/Out","2017/Nov","2017/Dez","2018/Jan","2018/Fev","2018/Mar","2018/Abr","2018/Mai","2018/Jun","2018/Jul","2018/Ago","2018/Set","2018/Out","2018/Nov","2018/Dez","2019/Jan","2019/Fev","2019/Mar","2019/Abr","2019/Mai","2019/Jun","2019/Jul","2019/Ago","2019/Set","2019/Out","2019/Nov","2019/Dez","2020/Jan","2020/Fev","2020/Mar","2020/Abr","2020/Mai","2020/Jun","2020/Jul","2020/Ago","2020/Set","2020/Out","2020/Nov","2020/Dez"
"Menor 1 ano",105,107,219,290,304,237,188,184,156,178,143,102,85,78,147,354,266,270,224,140,153,146,86,85,85,86,170,204,228,202,134,104,102,107,99,82,78,63,129,185,219,275,230,140,107,117,119,95,94,118,261,275,290,224,146,88,115,108,104,74,68,74,141,90,70,43,55,64,44,40,41,37
"1 a 4 anos",246,225,532,510,442,362,342,336,312,326,241,210,166,180,362,657,511,393,321,285,246,244,204,170,150,190,319,334,370,312,231,235,264,218,209,198,141,138,282,385,447,352,301,268,267,282,236,214,170,192,370,461,431,357,272,251,229,265,203,170,120,172,280,138,80,101,121,130,99,92,130,76
